gender,age,income,year_joined,received-to-viewed-ratio,received-to-completed-ratio,average_transaction_value,number_of_transactions,predicted_cluster
2108,2108.0,2108.0,2108.0,2108.0,2108.0,2108.0,2108.0,2108.0
3,,,,,,,,
F,,,,,,,,
1455,,,,,,,,
,65.35531309297913,93417.45730550284,2016.646110056926,55.0118595825427,60.11701454775458,24.56758572705316,5.675521821631879,2.0
,11.868902436080164,15436.700171466317,0.8822454047398176,18.8545339923717,23.626974864303108,6.01060425802548,2.690493461601048,0.0
,22.0,35000.0,2013.0,0.0,0.0,2.1623076923076927,1.0,2.0
,56.0,81000.0,2016.0,40.0,40.0,21.268068181818183,4.0,2.0
,63.0,93000.0,2017.0,60.0,60.0,24.52125,5.0,2.0
,73.0,106000.0,2017.0,66.66666666666666,75.0,27.400999999999996,7.0,2.0
,101.0,120000.0,2018.0,100.0,100.0,79.29416666666667,17.0,2.0
