,gender,age,income,year_joined,average_transaction_value,number_of_transactions,received-to-viewed-ratio,received-to-completed-ratio,predicted_cluster
count,2428,2428.0,2428.0,2428.0,2428.0,2428.0,2428.0,2428.0,2428.0
unique,3,,,,,,,,
top,M,,,,,,,,
freq,1342,,,,,,,,
mean,,41.99341021416804,51012.767710049426,2016.739291598023,11.943163845211046,13.873558484349259,80.83127402526085,72.32701812191104,4.0
std,,15.05591685312408,12393.403820647301,0.7702683840163521,6.989959925285162,4.37179136348861,18.222310457841843,21.096581423733124,0.0
min,,18.0,30000.0,2014.0,1.65625,3.0,0.0,0.0,4.0
25%,,30.0,40000.0,2016.0,7.946447368421054,11.0,66.66666666666666,60.0,4.0
50%,,40.0,51000.0,2017.0,11.600576923076922,13.0,80.0,75.0,4.0
75%,,53.0,61000.0,2017.0,15.107125,17.0,100.0,83.33333333333334,4.0
max,,92.0,83000.0,2018.0,66.33142857142857,32.0,100.0,100.0,4.0
