,gender,age,income,year_joined
1,F,55.0,112000.0,2017
3,F,75.0,100000.0,2017
5,M,68.0,70000.0,2018
8,M,65.0,53000.0,2018
12,M,58.0,51000.0,2017
13,F,61.0,57000.0,2017
14,M,26.0,46000.0,2014
15,F,62.0,71000.0,2016
16,M,49.0,52000.0,2014
18,M,57.0,42000.0,2017
19,F,61.0,40000.0,2018
20,F,40.0,71000.0,2016
21,M,64.0,100000.0,2017
22,F,78.0,71000.0,2017
24,M,42.0,69000.0,2013
25,F,56.0,88000.0,2018
27,F,33.0,52000.0,2017
28,F,46.0,59000.0,2017
29,M,59.0,41000.0,2015
30,M,67.0,96000.0,2014
31,O,53.0,52000.0,2017
32,M,22.0,70000.0,2017
33,F,96.0,89000.0,2017
34,M,40.0,33000.0,2016
35,F,69.0,57000.0,2016
37,M,56.0,68000.0,2014
38,F,26.0,63000.0,2017
40,M,75.0,40000.0,2015
41,F,20.0,30000.0,2016
42,M,45.0,33000.0,2018
43,M,61.0,98000.0,2017
46,F,69.0,37000.0,2013
47,F,54.0,80000.0,2017
48,M,39.0,51000.0,2014
49,F,41.0,41000.0,2015
50,F,79.0,48000.0,2015
51,F,66.0,38000.0,2018
52,F,56.0,52000.0,2017
53,F,39.0,56000.0,2014
55,M,42.0,96000.0,2016
58,F,78.0,93000.0,2016
59,M,45.0,48000.0,2017
60,M,29.0,50000.0,2016
61,M,44.0,35000.0,2017
62,M,63.0,56000.0,2018
63,M,36.0,56000.0,2017
64,F,76.0,47000.0,2018
65,M,68.0,87000.0,2017
66,M,75.0,52000.0,2015
67,M,67.0,76000.0,2017
68,M,77.0,51000.0,2016
69,M,76.0,64000.0,2014
70,M,57.0,98000.0,2018
71,F,53.0,72000.0,2016
72,F,53.0,117000.0,2016
73,F,53.0,55000.0,2017
74,F,61.0,112000.0,2017
75,F,67.0,77000.0,2016
76,F,58.0,85000.0,2018
77,F,46.0,36000.0,2018
78,M,30.0,41000.0,2017
79,M,59.0,89000.0,2017
81,M,51.0,41000.0,2015
82,M,27.0,35000.0,2018
83,M,40.0,53000.0,2018
85,F,73.0,91000.0,2018
86,F,74.0,107000.0,2015
87,M,42.0,66000.0,2015
88,M,78.0,58000.0,2015
89,F,54.0,53000.0,2016
90,F,70.0,74000.0,2018
91,F,49.0,57000.0,2017
92,F,62.0,57000.0,2018
93,M,64.0,70000.0,2017
94,F,89.0,87000.0,2017
95,M,73.0,51000.0,2018
97,F,50.0,93000.0,2017
98,F,90.0,98000.0,2015
99,F,68.0,84000.0,2016
100,M,60.0,64000.0,2017
101,M,45.0,54000.0,2017
102,M,66.0,49000.0,2016
105,F,19.0,73000.0,2016
106,F,66.0,58000.0,2018
107,F,72.0,72000.0,2016
109,M,76.0,63000.0,2016
110,M,52.0,78000.0,2017
111,M,55.0,31000.0,2017
112,F,39.0,60000.0,2017
113,F,45.0,44000.0,2016
114,F,57.0,114000.0,2017
115,M,74.0,48000.0,2018
116,M,18.0,47000.0,2016
117,M,53.0,96000.0,2017
118,F,59.0,98000.0,2017
119,M,57.0,46000.0,2014
120,F,51.0,56000.0,2017
123,F,64.0,37000.0,2017
