gender,age,income,year_joined,received-to-viewed-ratio,received-to-completed-ratio,average_transaction_value,number_of_transactions,predicted_cluster
F,55.0,112000.0,2017,0.0,50.0,25.67,3.0,2
F,75.0,100000.0,2017,100.0,75.0,22.752857142857145,7.0,0
M,68.0,70000.0,2018,75.0,50.0,19.243333333333336,3.0,3
M,65.0,53000.0,2018,100.0,83.33333333333334,12.143333333333333,3.0,3
M,58.0,51000.0,2017,66.66666666666666,33.33333333333333,3.905,4.0,6
F,61.0,57000.0,2017,100.0,60.0,14.258333333333333,6.0,3
M,26.0,46000.0,2014,16.666666666666664,16.666666666666664,5.11090909090909,11.0,1
F,62.0,71000.0,2016,83.33333333333334,66.66666666666666,20.03125,8.0,0
M,49.0,52000.0,2014,66.66666666666666,33.33333333333333,16.012222222222228,9.0,1
M,57.0,42000.0,2017,20.0,40.0,3.183333333333333,6.0,6
F,61.0,40000.0,2018,66.66666666666666,0.0,2.968571428571429,7.0,6
F,40.0,71000.0,2016,80.0,100.0,18.7925,16.0,4
M,64.0,100000.0,2017,80.0,60.0,30.184285714285718,7.0,2
F,78.0,71000.0,2017,100.0,16.666666666666664,19.432499999999997,8.0,3
M,42.0,69000.0,2013,100.0,75.0,18.28,5.0,0
F,56.0,88000.0,2018,100.0,66.66666666666666,25.206666666666667,3.0,3
F,33.0,52000.0,2017,50.0,16.666666666666664,1.9888888888888887,9.0,6
F,46.0,59000.0,2017,25.0,0.0,2.88,1.0,6
M,59.0,41000.0,2015,83.33333333333334,33.33333333333333,4.006153846153846,13.0,1
M,67.0,96000.0,2014,75.0,100.0,25.86,8.0,0
O,53.0,52000.0,2017,60.0,20.0,3.748,5.0,6
M,22.0,70000.0,2017,100.0,66.66666666666666,17.73,6.0,4
F,96.0,89000.0,2017,40.0,80.0,20.48,4.0,2
M,40.0,33000.0,2016,66.66666666666666,16.666666666666664,2.924285714285714,14.0,1
F,69.0,57000.0,2016,100.0,66.66666666666666,15.249285714285715,14.0,0
M,56.0,68000.0,2014,66.66666666666666,66.66666666666666,18.630000000000003,9.0,1
F,26.0,63000.0,2017,100.0,66.66666666666666,3.4942857142857147,21.0,4
M,75.0,40000.0,2015,75.0,100.0,15.553,10.0,0
F,20.0,30000.0,2016,50.0,0.0,2.989,10.0,6
M,45.0,33000.0,2018,100.0,60.0,7.65625,8.0,4
M,61.0,98000.0,2017,80.0,80.0,29.303749999999994,8.0,0
F,69.0,37000.0,2013,60.0,20.0,2.7266666666666666,12.0,1
F,54.0,80000.0,2017,83.33333333333334,50.0,27.711111111111112,9.0,0
M,39.0,51000.0,2014,60.0,20.0,3.7078571428571436,14.0,1
F,41.0,41000.0,2015,50.0,75.0,3.4727777777777775,18.0,1
F,79.0,48000.0,2015,50.0,50.0,10.133333333333333,15.0,1
F,66.0,38000.0,2018,100.0,25.0,11.216,5.0,3
F,56.0,52000.0,2017,33.33333333333333,100.0,12.444285714285712,7.0,2
F,39.0,56000.0,2014,60.0,60.0,11.556153846153848,13.0,1
M,42.0,96000.0,2016,100.0,100.0,26.706666666666667,12.0,0
F,78.0,93000.0,2016,100.0,100.0,28.193749999999998,8.0,0
M,45.0,48000.0,2017,50.0,0.0,2.8333333333333335,6.0,6
M,29.0,50000.0,2016,50.0,25.0,3.1808333333333327,12.0,6
M,44.0,35000.0,2017,100.0,100.0,8.34611111111111,18.0,4
M,63.0,56000.0,2018,100.0,100.0,13.513333333333332,9.0,0
M,36.0,56000.0,2017,66.66666666666666,66.66666666666666,16.97857142857143,7.0,4
F,76.0,47000.0,2018,60.0,20.0,3.775,6.0,6
M,68.0,87000.0,2017,100.0,100.0,22.1475,8.0,0
M,75.0,52000.0,2015,100.0,66.66666666666666,12.321818181818184,11.0,0
M,67.0,76000.0,2017,100.0,80.0,16.731666666666666,12.0,0
M,77.0,51000.0,2016,80.0,0.0,2.1645454545454546,11.0,1
M,76.0,64000.0,2014,66.66666666666666,33.33333333333333,13.865,8.0,1
M,57.0,98000.0,2018,0.0,66.66666666666666,27.24,1.0,2
F,53.0,72000.0,2016,66.66666666666666,83.33333333333334,18.653333333333332,9.0,0
F,53.0,117000.0,2016,80.0,100.0,30.320000000000004,10.0,0
F,53.0,55000.0,2017,60.0,20.0,2.5225,8.0,6
F,61.0,112000.0,2017,100.0,40.0,33.625,2.0,2
F,67.0,77000.0,2016,100.0,33.33333333333333,19.466250000000002,8.0,0
F,58.0,85000.0,2018,100.0,100.0,19.36133333333333,15.0,0
F,46.0,36000.0,2018,60.0,0.0,3.4260000000000006,5.0,6
M,30.0,41000.0,2017,100.0,0.0,2.9875,4.0,6
M,59.0,89000.0,2017,66.66666666666666,33.33333333333333,22.700000000000003,2.0,2
M,51.0,41000.0,2015,66.66666666666666,50.0,3.7980000000000005,20.0,1
